Proyecto de infraestructura,QUINTO SEMESTRE,Tabla,SEGUNDO SEMESTRE,SÉPTIMO SEMESTRE,Col8,LÍNEAS,Caso de estudio,OCTAVO SEMESTRE,Anteproyecto,PRIMER SEMESTRE,Categoría,SEXTO SEMESTRE,Proyecto de desarrollo y testing,Proyecto final de Tecnicatura,CUARTO SEMESTRE,TERCER SEMESTRE,Col5,Col6
,Programación Funcional,Plan_Estudios_2018,Patrones de diseño y algoritmos,Fundamentos de robótica y domótica,,Troncal académica,,Introducción a DevOps,,Programación en lenguaje SQL,,Análisis de datos / Data Science,,,Sistemas operativos de red,Arquitectura básica de dispositivos,,
,Base de datos NoSQL,Plan_Estudios_2018,Metodologías de desarrollo ágil,Diseño de experiencia de usuario (UX),,Troncal académica,,Taller DevOps,,Introducción a la programación en Java,,Fundamentos de Machine Learning,,,Desarrollo de aplicaciones para dispositivos móviles,Infraestructura de redes,,
,Liderazgo ágil,Plan_Estudios_2018,Implementación del testing funcional,"Ciberseguridad: Conceptos, incidencias y contramedidas",,Troncal académica,,,,Metodologías de testing funcional,,Arquitectura de Cloud Computing,,,Introducción a la Seguridad y Auditoría,Interconexión de redes,,
,Gestión de la calidad en TI,Plan_Estudios_2018,Base de datos corporativas,Ciberseguridad: Continuidad del negocio,,Troncal académica,,Proyecto final de titulación,,Fundamentos de la programación orientada a objetos,,Modelos y Servicios de Cloud,,,Fundamentos de Virtualización,Gestión de testing funcional,,
,Derecho informático y normativa asociada,Plan_Estudios_2018,Análisis de requerimientos y modelado,Taller de ciberseguridad vinculado a desarrollo en la nube,,Troncal académica,,,,Base de datos: conceptos y diseño,,Ciberseguridad en ambientes de Cloud,,,,,,
,Automatización de Pruebas; Testing de Performance; Metodologías de gestión de proyectos,Plan_Estudios_2018,Aplicaciones Enterprise,,,Troncal académica,,,,Introducción y perspectivas de las TI,,,,,,Aplicaciones web,,
,Vinculación con el medio,Plan_Estudios_2018,Vinculación con el medio,Vinculación con el medio,,Troncal de formación profesional,,Vinculación con el medio,,Vinculación con el medio,,Ética tecnología y sociedad; Vinculación con el medio,,,Vinculación con el medio,Vinculación con el medio,,
Proyecto de infraestructura,,Programas_Especiales,,,,,Caso de estudio,,Anteproyecto,,Integración/Profesionalización,,Proyecto de desarrollo y testing,Proyecto final de Tecnicatura,,,,
Optativa,,Programas_Especiales,,,Optativa,,Curso Inicial Virtual,,Optativa,,Soporte,,,Optativa,,,Optativa,Optativa
Inglés,,Programas_Especiales,,,Inglés,,Inglés,,Inglés,,Formación lingüística,,Inglés,Inglés,,,Inglés,Inglés
EJE 3: Conceptos de Infraestructura básica como soporte de las aplicaciones,,Programas_Especiales,,,EJE 8: Proyecto final integral de titulación,,EJE 1: Comprensión de las perspectivas del sector de TI,,EJE 7: La ciberseguridad como continuidad del negocio. Elaboración de anteproyecto,,Ejes curriculares,,EJE 2: Programación a nivel junior con base de testing funcional,EJE 4: Desarrollo de aplicación operativa con lógica del modelo de negocio,,,EJE 5: La calidad y gestión integral de proyectos de TI,"EJE 6: El desafío del manejo de datos, la programación asociada a servicios de cloud"
